sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;qt_votos_nom_validos;qt_votos_concorrentes
MA;7;Deputado Estadual;50507;JOANICE DE OLIVEIRA RIOS;JOANICE RIOS;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001713942;Válido;2040602022;110;3701453
MA;7;Deputado Estadual;55663;ELPIDIO MARTINS DE OLIVEIRA NETO;ELPIDIO MARTINS;PSD;PSD;1;Suplente;2022-10-03 03:11:03;MA;100001607114;Válido;2040602022;110;3701453
MA;7;Deputado Estadual;22453;ARACELE DE JESUS FONSECA SILVA;PROFESSORA ARACELE;PL;PL;1;Suplente;2022-10-03 03:11:03;MA;100001603174;Válido;2040602022;108;3701453
MA;7;Deputado Estadual;35000;MARIA DALVA COSTA;DALVA CAMARÃO;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689728;Válido;2040602022;108;3701453
MA;7;Deputado Estadual;27234;ENELSON SANTOS PAVÃO;IRMÃO PAVÃO;DC;DC;1;Não Eleito;2022-10-03 03:11:03;MA;100001723206;Válido;2040602022;107;3701453
MA;7;Deputado Estadual;22369;CLEIDIANE DAS NEVES BRITO;CLEIDIANE BRASIL;PL;PL;1;Suplente;2022-10-03 03:11:03;MA;100001603156;Válido;2040602022;106;3701453
MA;7;Deputado Estadual;40115;SANDRA MARIA OLIVEIRA SILVA;SANDRA OLIVEIRA;PSB;PSB;1;Suplente;2022-10-03 03:11:03;MA;100001607084;Válido;2040602022;104;3701453
MA;7;Deputado Estadual;19566;EDNA PIRES MONTEIRO MARTINS;EDNA MONTEIRO;PODE;PODE;1;Suplente;2022-10-03 03:11:03;MA;100001614795;Válido;2040602022;104;3701453
MA;7;Deputado Estadual;50461;IARLISSON SOUSA SILVA;IARLISSON SILVA;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001713941;Válido;2040602022;102;3701453
MA;7;Deputado Estadual;36336;JULIETE LIMA ANDRADE DOS SANTOS;JULIETE ANDRADE;AGIR;AGIR;1;Não Eleito;2022-10-03 03:11:03;MA;100001689555;Válido;2040602022;100;3701453
MA;7;Deputado Estadual;36637;DENES MARINHO DA SILVA;DENES DA PURURUCA;AGIR;AGIR;1;Não Eleito;2022-10-03 03:11:03;MA;100001689541;Válido;2040602022;100;3701453
MA;7;Deputado Estadual;36600;NADSON MUNIZ ARAUJO;NADSON DO OVO;AGIR;AGIR;1;Não Eleito;2022-10-03 03:11:03;MA;100001689567;Válido;2040602022;99;3701453
MA;7;Deputado Estadual;27487;CARLOS INÁCIO CORDEIRO DA CRUZ;CARLOS QUILOMBOLA;DC;DC;1;Não Eleito;2022-10-03 03:11:03;MA;100001723205;Válido;2040602022;96;3701453
MA;7;Deputado Estadual;55580;ANDRÉ DE SOUSA BRAZ;ANDRÉ BRAZ;PSD;PSD;1;Suplente;2022-10-03 03:11:03;MA;100001607119;Válido;2040602022;96;3701453
MA;7;Deputado Estadual;90147;RAIMUNDO CARLOS DA SILVA GUAJAJARA;RAIMUNDO GUAJAJARA;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599539;Válido;2040602022;95;3701453
MA;7;Deputado Estadual;22544;PASCOAL CEDRAZ DE MIRANDA;PASTOR PASCOAL CEDRAZ;PL;PL;1;Suplente;2022-10-03 03:11:03;MA;100001603180;Válido;2040602022;94;3701453
MA;7;Deputado Estadual;45500;ELINE CARLA PINHEIRO CARDOSO;ELI CARLA;PSDB;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619963;Válido;2040602022;94;3701453
MA;7;Deputado Estadual;35111;ARNALDO NUNES CHAVES;ARNALDO BEREBÔ;PMB;PMB;1;Não Eleito;2022-10-03 03:11:03;MA;100001689729;Válido;2040602022;92;3701453
MA;7;Deputado Estadual;18000;RAIMUNDO RIBEIRO SILVA FILHO;RAIMUNDO RIBEIRO;REDE;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001725393;Válido;2040602022;92;3701453
MA;7;Deputado Estadual;20345;WLICIARA SILVA CORREA;CIARA COLETIVO TODOS MARANHÃO;PSC;PSC;1;Suplente;2022-10-03 03:11:03;MA;100001620099;Válido;2040602022;90;3701453
MA;7;Deputado Estadual;50456;MARIA SILVANETE SOUSA DAMASCENO;SILVANETE REI DO GADO;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001725395;Válido;2040602022;87;3701453
MA;7;Deputado Estadual;18380;GERALDO DE SOUZA FREITAS FILHO;GERALDINHO;REDE;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001713958;Válido;2040602022;86;3701453
MA;7;Deputado Estadual;10010;MARISA REGINA DUARTE TEIXEIRA;MARISA ROSAS;REPUBLICANOS;REPUBLICANOS;1;Suplente;2022-10-03 03:11:03;MA;100001732977;Válido;2040602022;85;3701453
